#,Name,WN8 Rating,Performance Rating,Battles,Win Rate,Average Damage,Average Exp. Overall,Average Kills,Avg. base capture,Avg. base defense,Vehicles spotted,Average Tier
1.0,EvilJoe,"1,357","1,430","226,234",50.50%,973.0,539.0,0.92,2.86,0.91,1.21,7.32
2.0,GROMIGOR [1WP],876,"1,223","198,565",48.00%,770.0,413.0,0.62,0.77,0.28,1.47,7.14
3.0,moellemann [RRW],816,"1,206","180,965",48.10%,700.0,555.0,0.56,1.68,0.06,1.72,6.94
4.0,Mitjnj,909,"1,210","165,196",47.60%,770.0,397.0,0.73,0.72,0.68,0.81,7.31
5.0,Slimjim31,"2,051","1,754","161,814",54.00%,1417.0,618.0,1.24,1.05,0.96,0.91,7.69
6.0,mcInvisible,310,872,"158,493",44.70%,342.0,297.0,0.32,1.68,0.17,0.42,6.16
7.0,veroce04,975,"1,280","157,557",48.60%,810.0,443.0,0.79,0.38,0.42,0.66,7.12
8.0,COUZEY,"1,447","1,466","157,422",50.70%,1131.0,454.0,1.1,0.67,0.69,1.36,7.59
9.0,MichalKami,"1,046","1,314","156,635",49.30%,772.0,507.0,0.74,0.62,0.61,0.95,6.83
10.0,Cire06,"2,138","1,813","154,419",55.60%,1247.0,692.0,1.23,1.31,1.24,0.69,6.8
11.0,porsche111,"1,033","1,315","153,929",51.00%,468.0,415.0,0.89,2.86,1.32,0.66,4.84
12.0,bula1406,645,"1,072","145,673",47.00%,535.0,345.0,0.59,0.82,0.39,0.94,6.65
13.0,jojojar,851,"1,202","144,943",47.30%,840.0,415.0,0.58,0.45,0.35,1.41,7.77
14.0,Rebellen_1960 [NOTD],"1,024","1,285","142,200",47.80%,871.0,573.0,0.72,0.98,0.42,1.06,7.44
15.0,umbrella42 [PA-PI],651,"1,073","141,880",47.90%,508.0,496.0,0.61,1.16,0.53,2.16,6.52
16.0,miki71 [X-W],"2,526","1,942","141,705",56.90%,1500.0,789.0,1.38,1.51,1.07,1.86,7.53
17.0,_Predator12_,715,"1,122","141,462",46.30%,627.0,483.0,0.8,2.88,0.55,0.51,6.79
18.0,felixpeliculas [-ESP],846,"1,204","137,890",48.40%,644.0,384.0,0.63,1.44,0.29,1.28,6.7
19.0,destry [CNP],969,"1,254","137,287",49.30%,589.0,464.0,0.85,1.02,0.7,0.89,5.74
20.0,Tygr29,713,"1,131","136,567",49.20%,415.0,295.0,0.8,0.66,0.93,0.56,5.16
21.0,diskiler,"1,762","1,660","136,163",53.60%,1040.0,631.0,1.09,0.86,0.84,1.19,6.63
22.0,RAKI98 [MD-SH],"1,651","1,627","135,553",53.60%,1119.0,562.0,0.92,1.87,0.63,2.22,7.27
23.0,PRZEMO59 [PPG],"1,023","1,291","134,467",49.20%,760.0,462.0,0.74,0.56,0.51,1.01,6.81
24.0,totolalune13,"1,508","1,561","133,799",53.50%,1061.0,622.0,0.91,0.66,0.49,1.41,7.25
25.0,dorub [HTKL],"1,100","1,338","133,717",48.30%,969.0,549.0,0.85,0.79,0.55,0.48,7.63
